trace_id,label,reason_code
traj_v2_001,1,mismatch_observed_75_expected_100
traj_v2_002,0,missing_param_clear
traj_v2_003,2,clean_success
traj_v2_004,system_failure,validation_failure_both_match_100
traj_v2_005,1,mismatch_observed_250_expected_100
traj_v2_006,1,mismatch_observed_102_expected_100
traj_v2_007,1,mismatch_observed_1000_expected_100
traj_v2_008,1,mismatch_observed_10_expected_100
traj_v2_009,1,mismatch_observed_98_expected_100
traj_v2_010,2,clean_success
traj_v2_011,0,missing_param_wrong_name
traj_v2_012,1,mismatch_observed_500_expected_100
traj_v2_013,1,mismatch_observed_120_expected_100
traj_v2_014,system_failure,validation_failure_both_match_100
traj_v2_015,1,mismatch_observed_95_expected_100
traj_v2_016,2,clean_success
traj_v2_017,1,conversation_ignored_80_tool_success
traj_v2_018,1,mismatch_observed_300_expected_100
traj_v2_019,system_failure,validation_failure_both_match_100
traj_v2_020,2,clean_success
